Candle: 30, BB_upper: 123.76, BB_lower: 80.61, KC_upper: 107.90, KC_lower: 96.47, BB_std: 10.79, KC_atr: 3.81, is_squeeze_on: False
Candle: 30, BB_upper: 100.22, BB_lower: 99.23, KC_upper: 101.04, KC_lower: 98.41, BB_std: 0.25, KC_atr: 0.88, is_squeeze_on: True
Candle: 30, BB_upper: 123.76, BB_lower: 80.61, KC_upper: 107.90, KC_lower: 96.47, BB_std: 10.79, KC_atr: 3.81, is_squeeze_on: False
Candle: 30, BB_upper: 116.79, BB_lower: 88.51, KC_upper: 115.02, KC_lower: 90.28, BB_std: 7.07, KC_atr: 8.25, is_squeeze_on: False
Candle: 120, BB_upper: 67303.48, BB_lower: 67001.56, KC_upper: 67409.70, KC_lower: 66895.34, BB_std: 75.48, KC_atr: 171.46, is_squeeze_on: True
Candle: 120, BB_upper: 67777.32, BB_lower: 66804.06, KC_upper: 67770.16, KC_lower: 66811.22, BB_std: 243.31, KC_atr: 319.64, is_squeeze_on: False
Candle: 120, BB_upper: 68176.99, BB_lower: 66887.01, KC_upper: 68199.04, KC_lower: 66864.96, BB_std: 322.49, KC_atr: 444.69, is_squeeze_on: True
Candle: 30, BB_upper: 100.22, BB_lower: 99.23, KC_upper: 101.04, KC_lower: 98.41, BB_std: 0.25, KC_atr: 0.88, is_squeeze_on: True
Candle: 30, BB_upper: 123.76, BB_lower: 80.61, KC_upper: 107.90, KC_lower: 96.47, BB_std: 10.79, KC_atr: 3.81, is_squeeze_on: False
Candle: 30, BB_upper: 116.79, BB_lower: 88.51, KC_upper: 115.02, KC_lower: 90.28, BB_std: 7.07, KC_atr: 8.25, is_squeeze_on: False
Candle: 30, BB_upper: 100.22, BB_lower: 99.23, KC_upper: 101.04, KC_lower: 98.41, BB_std: 0.25, KC_atr: 0.88, is_squeeze_on: True
Candle: 30, BB_upper: 123.76, BB_lower: 80.61, KC_upper: 107.90, KC_lower: 96.47, BB_std: 10.79, KC_atr: 3.81, is_squeeze_on: False
Candle: 30, BB_upper: 116.79, BB_lower: 88.51, KC_upper: 115.02, KC_lower: 90.28, BB_std: 7.07, KC_atr: 8.25, is_squeeze_on: False
Candle: 30, BB_upper: 100.22, BB_lower: 99.23, KC_upper: 101.04, KC_lower: 98.41, BB_std: 0.25, KC_atr: 0.88, is_squeeze_on: True
Candle: 30, BB_upper: 123.76, BB_lower: 80.61, KC_upper: 107.90, KC_lower: 96.47, BB_std: 10.79, KC_atr: 3.81, is_squeeze_on: False
Candle: 30, BB_upper: 116.79, BB_lower: 88.51, KC_upper: 115.02, KC_lower: 90.28, BB_std: 7.07, KC_atr: 8.25, is_squeeze_on: False
Candle: 30, BB_upper: 100.22, BB_lower: 99.23, KC_upper: 101.04, KC_lower: 98.41, BB_std: 0.25, KC_atr: 0.88, is_squeeze_on: True
Candle: 30, BB_upper: 123.76, BB_lower: 80.61, KC_upper: 107.90, KC_lower: 96.47, BB_std: 10.79, KC_atr: 3.81, is_squeeze_on: False
